category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.9108,0.0404,0.3821,6.7324,818
ai_faces_1k,raw,0.8514,0.07,0.3301,7.4923,1398
ai_faces_1k,raw,0.7736,0.0799,0.3651,7.6687,794
ai_faces_1k,raw,0.8622,0.0859,0.2682,7.5167,1272
ai_faces_1k,raw,0.7978,0.1555,0.3183,7.3979,1847
ai_faces_1k,raw,0.8728,0.0267,0.1773,7.1182,2039
ai_faces_1k,raw,0.8121,0.0978,0.4454,7.5938,1934
ai_faces_1k,raw,0.8027,0.106,0.5276,7.749,1476
ai_faces_1k,raw,0.8523,0.0363,0.3377,7.5801,3849
ai_faces_1k,raw,0.8936,0.0921,0.8376,5.656,560
ai_faces_1k,raw,0.8312,0.046,0.2184,7.6838,2466
ai_faces_1k,raw,0.8078,0.0154,0.2989,7.2528,637
ai_faces_1k,raw,0.6982,0.0039,1.0885,7.7937,1302
ai_faces_1k,raw,0.7436,0.0816,0.3146,7.6612,1616
ai_faces_1k,raw,0.7909,0.0938,0.5503,7.4481,1278
ai_faces_1k,raw,0.8106,0.0157,0.3634,7.7674,1545
ai_faces_1k,raw,0.8218,0.1065,1.2258,7.4663,1068
ai_faces_1k,raw,0.7385,0.2435,0.3719,6.6487,610
ai_faces_1k,raw,0.7215,0.2276,0.2337,7.5455,1547
ai_faces_1k,raw,0.9137,0.0332,0.1938,7.5091,872
ai_faces_1k,raw,0.8986,0.0517,0.7686,6.8022,949
ai_faces_1k,raw,0.8244,0.1413,0.0859,7.328,3751
ai_faces_1k,raw,0.7804,0.1236,0.5373,7.903,2191
ai_faces_1k,raw,0.8858,0.0155,0.4393,7.6387,1742
ai_faces_1k,raw,0.706,0.1705,0.332,6.7486,1011
ai_faces_1k,raw,0.8164,0.1272,0.5799,7.7241,1861
ai_faces_1k,raw,0.8643,0.0474,0.18,7.2392,1197
ai_faces_1k,raw,0.8066,0.1174,0.7057,7.7249,1154
ai_faces_1k,raw,0.8207,0.0023,0.2806,7.1971,538
ai_faces_1k,raw,0.7391,0.1092,0.1941,7.2849,870
ai_faces_1k,raw,0.8265,0.0408,1.2083,7.5704,1523
ai_faces_1k,raw,0.7284,0.2207,0.2514,6.7374,1226
ai_faces_1k,raw,0.7281,0.1951,0.2542,7.3545,1222
ai_faces_1k,raw,0.8401,0.0248,0.6349,7.1563,1549
ai_faces_1k,raw,0.8342,0.0304,0.1774,7.4827,1107
ai_faces_1k,raw,0.6706,0.2614,0.2415,7.7056,852
ai_faces_1k,raw,0.839,0.0704,0.8744,7.4406,3118
ai_faces_1k,raw,0.8745,0.0802,0.4897,7.127,849
ai_faces_1k,raw,0.6658,0.3236,0.2513,7.6983,2029
ai_faces_1k,raw,0.87,0.1016,0.1304,7.3345,1224
ai_faces_1k,raw,0.7938,0.0901,0.3708,7.1325,791
ai_faces_1k,raw,0.7273,0.1656,0.8256,7.4519,1586
ai_faces_1k,raw,0.8202,0.0929,1.1311,7.4787,2320
ai_faces_1k,raw,0.8331,0.0399,1.0088,7.5095,1697
ai_faces_1k,raw,0.7628,0.0243,0.3793,7.7253,2931
ai_faces_1k,raw,0.8233,0.0427,0.4937,7.2097,1363
ai_faces_1k,raw,0.7867,0.1741,0.498,7.5879,1665
ai_faces_1k,raw,0.876,0.0787,0.243,7.1044,849
ai_faces_1k,raw,0.8275,0.1067,0.3036,7.5802,1490
ai_faces_1k,raw,0.9173,0.0158,0.2708,7.1247,1179
ai_faces_1k,raw,0.8489,0.0571,0.1021,7.0488,2133
ai_faces_1k,raw,0.8219,0.0617,0.553,7.3172,2982
ai_faces_1k,raw,0.8644,0.0845,0.345,7.8123,902
ai_faces_1k,raw,0.8805,0.0832,0.2999,7.1283,605
ai_faces_1k,raw,0.8919,0.0394,0.2858,6.9067,1744
ai_faces_1k,raw,0.8572,0.075,0.3882,7.5366,1593
ai_faces_1k,raw,0.8031,0.1511,0.9524,7.707,1904
ai_faces_1k,raw,0.8342,0.0144,0.4185,7.2568,1219
ai_faces_1k,raw,0.8834,0.0405,0.747,7.6822,1631
ai_faces_1k,raw,0.9365,0.0322,0.202,6.9342,1260
ai_faces_1k,raw,0.8625,0.0122,0.5448,7.406,1619
ai_faces_1k,raw,0.6699,0.2533,0.689,7.4837,850
ai_faces_1k,raw,0.725,0.0552,1.699,7.597,1783
ai_faces_1k,raw,0.8715,0.0771,0.2827,6.714,1431
ai_faces_1k,raw,0.8962,0.0383,0.4352,7.038,779
ai_faces_1k,raw,0.8513,0.0829,0.3365,7.6087,1564
ai_faces_1k,raw,0.7793,0.1095,0.5243,7.7259,2631
ai_faces_1k,raw,0.6704,0.3046,0.1053,6.8848,433
ai_faces_1k,raw,0.8927,0.0118,1.315,7.4435,1434
ai_faces_1k,raw,0.7579,0.2072,0.2906,7.2103,983
ai_faces_1k,raw,0.8524,0.0289,0.3581,7.5586,1808
ai_faces_1k,raw,0.8698,0.04,0.1896,7.3747,1656
ai_faces_1k,raw,0.9153,0.0425,0.0852,6.6526,809
ai_faces_1k,raw,0.8092,0.0238,0.3887,7.3568,1003
ai_faces_1k,raw,0.815,0.1184,0.2329,7.4562,997
ai_faces_1k,raw,0.9093,0.028,0.2616,7.0281,1669
ai_faces_1k,raw,0.7164,0.0768,1.8239,7.5819,1174
ai_faces_1k,raw,0.9077,0.0158,0.7725,7.5946,1270
ai_faces_1k,raw,0.8185,0.1216,0.3001,7.6489,2654
ai_faces_1k,raw,0.8204,0.0107,0.2872,7.659,1861
ai_faces_1k,raw,0.8999,0.022,0.1589,7.5787,1675
ai_faces_1k,raw,0.6253,0.3436,0.3956,7.6027,1500
ai_faces_1k,raw,0.7537,0.1956,0.2212,7.4427,3745
ai_faces_1k,raw,0.8369,0.0677,0.5299,6.8913,924
ai_faces_1k,raw,0.8488,0.1037,1.2901,7.6202,1608
ai_faces_1k,raw,0.8296,0.0202,0.405,7.5388,1550
ai_faces_1k,raw,0.901,0.0044,0.5762,7.0587,1089
ai_faces_1k,raw,0.8728,0.0654,0.1416,7.2783,1269
ai_faces_1k,raw,0.8625,0.0031,0.3349,7.6117,1672
